result_id,scenario_id,metric_key,metric_display_name,data_type,metric_unit,baseline_value,simulated_value,raw_simulated_value,change_value,change_pct,change_direction,evidence_level,confidence,interpretation,causal_disclaimer,calculation_notes
R_S01_01,S01,review_score,Review Score (Mean),number,points,4.16,4.265,4.265,0.1048,2.52,positive,OBSERVATIONAL_CORRELATION,MEDIUM,Reducing late rate to 4% improves avg score by +0.105 points,"⚠️ 基于历史相关性推演，不代表提升延迟率会必然提升评分。可能存在混杂变量影响。",Based on Phase 4 delay_score correlation (-0.267); score clamped if exceeds boundary
R_S01_02,S01,low_score_pct,Low Score Percentage,number,percentage,12.71,12.07,12.07,-0.64,0,negative,OBSERVATIONAL_CORRELATION,MEDIUM,Low score % reduced from 12.71% to 12.07% (-0.64pp),"⚠️ 基于历史相关性推演，不代表真实因果关系。",Secondary metric; proportional to score improvement
R_S02_01,S02,review_score,Review Score (Mean),number,points,4.16,4.460,5.015,0.3000,7.21,positive,OBSERVATIONAL_CORRELATION,HIGH,Reducing delivery by 2.56 days improves score by +0.300 points (calibrated from raw +0.855),"⚠️ 基于历史相关性推演，不代表真实因果关系。原始估算5.015已截断至4.460。保守上限0.3分已应用。",Raw estimate 5.015 exceeded 5.0; capped at +0.300 for realistic expectations
R_S02_02,S02,low_score_pct,Low Score Percentage,number,percentage,12.71,10.88,10.88,-1.83,0,negative,OBSERVATIONAL_CORRELATION,HIGH,Low score % reduced from 12.71% to 10.88% (-1.83pp),"⚠️ 基于历史相关性推演，不代表真实因果关系。",Secondary metric
R_S02_03,S02,cancellation_risk_factor,Cancellation Risk Factor,number,index,1.019,0.661,0.661,-0.358,-35.1,decrease,OBSERVATIONAL_CORRELATION,HIGH,Cancellation risk factor reduced by 35.1% (1.019 → 0.661),"⚠️ 基于经验估算，不代表精确因果。",Tertiary metric
R_S07_01,S07,regional_states_score,Regional State Late Rate,number,percentage,15.0,8.0,8.0,-7.0,0,negative,EXPERIENTIAL_ESTIMATE,MEDIUM,Worst state late rate reduced from 15% to 8% (-7pp),"⚠️ 基于经验估算，不基于精确历史数据。各州订单权重(18%)为估算值。",Per-state late rate improvement; overall platform impact is marginal (+0.032 score)
R_S07_02,S07,overall_score_impact,Overall Score Impact,number,points,4.16,4.192,4.192,0.0321,0,positive,EXPERIENTIAL_ESTIMATE,MEDIUM,Overall platform score impact is +0.032 points (weighted by 18% state share),"⚠️ 基于经验估算。实际影响取决于各州真实订单分布。",Secondary metric; conservative estimate due to state weight approximation
R_S08_01,S08,seller_activation_rate,Seller Activation Rate,number,percentage,45.1,55.0,55.0,9.9,0,positive,ARITHMETIC_CALCULATION,HIGH,Activation rate increased by +9.9pp (45.1% → 55.0%),✅ 纯算术计算，无相关性假设。基于已知激活商家数量推算。,Direct input/output; no correlation required
R_S08_02,S08,closed_seller_GMV,Closed Seller GMV,number,BRL,775815.63,945270.09,945270.09,169454.46,21.8,positive,ARITHMETIC_CALCULATION,HIGH,Closed seller GMV increased by R$169,454 (+21.8%). Note: This is closed seller GMV, not platform GMV.,✅ 纯算术计算。注意：这是「漏斗成交商家GMV」，非「全平台GMV」。,Secondary metric; 83 additional sellers × R$2041.62 avg GMV
R_S08_03,S08,platform_GMV_pct,As % of Platform GMV,number,percentage,5.78,7.05,7.05,1.263,0,positive,ARITHMETIC_CALCULATION,HIGH,Closed seller GMV as % of platform GMV increased from 5.78% to 7.05% (+1.26pp),"✅ 纯算术。R$169,454仅占全平台GMV R$13,412,108的1.26%。",Tertiary metric; clarifies denominator distinction
