Variable,Variable_Description,Source_Phase,Current_Value,Impacted_Metrics,Impact_Direction,Business_Meaning,Data_Support
delivery_total_days,Total delivery time from order to customer (days),Phase 4,Mean 12.56 / Median 10.22,review_score;cancel_rate;repeat_purchase,Negative,Distribution: 78% early / 8.11% late; longer delivery→lower score,Direct data available
late_delivery_rate,Percentage of orders delivered after estimated date,Phase 4,8.11% late,review_score;seller_rating,Negative,Low-score customers have 33.75% late rate vs 3.50% for high-score,Direct data available
approval_to_shipping_days,Time from order approval to carrier dispatch,Phase 4,Mean 2.80 days,delivery_total_days;customer_satisfaction,Negative,High variability stage (std 3.54 days); bottleneck in fulfillment,Direct data available
review_score,Average customer review score (1-5),Phase 4,Mean 4.16 / Median 5.0,total_GMV;repeat_purchase;customer_retention,Positive,78.40% high scores (4-5); 12.71% dissatisfaction signal,Direct data available
category_gmv_concentration,Top categories GMV share of total,Phase 3,Top 5: 40.3%; 16 cats for80%,avg_price;order_volume;seller_specialization,Mixed,16 categories drive 80% GMV; diversification vs focus trade-off,Direct data available
seller_concentration,Percentage of GMV from top sellers,Phase 3,Top 10: 13.1%; 540 sellers for80%,avg_delivery_time;review_score;platform_risk,Mixed,540 sellers account for 80% GMV; concentration risk,Direct data available
state_late_rate_variation,Late delivery rate variation by customer state,Phase 4,Worst: AL/MA/PI/CE/SE >15%,state_score;activation_cost;market_expansion,Negative,5 states with >15% late rate; 8.76-29.39 day delivery variation by state,Direct data available
marketing_channel_conversion,Conversion rate by lead origin,Phase 5,paid_search 12.3%; organic_search 11.8%; referral 8.5%,seller_activation;GMV_per_seller;acquisition_cost,Positive,High conv channels: paid_search/organic_search/referral; low: email/display/social,Direct data available
seller_activation_rate,Percentage of closed deals with subsequent orders,Phase 5,45.1% (380 of 842 sellers),total_GMV;platform_revenue;channel_ROI,Positive,direct_traffic 55.36% activation; paid_search 51.79%; email only 40%,Direct data available
avg_order_value,Average order value per transaction,Phase 3,R$160.99 (median R$105.29),total_GMV;repeat_purchase;shipping_efficiency,Positive,Right-skewed distribution; payment type affects AOV,Direct data available
repeat_purchase_rate,Percentage of customers with multiple orders,Phase 3,3.4%,total_GMV;customer_lifetime_value;churn_rate,Positive,Low repeat rate indicates acquisition dependency,Direct data available
channel_activation_cost,Estimated cost per activated seller by channel,Phase 5,Varies by channel performance,ROI;marketing_budget;channel_selection,Negative,Requires marketing spend data not in current dataset,NEEDS EXTRA ASSUMPTION
category_profit_margin,Profit margin by product category,Phase 3,Varies by category pricing,tot_revenue;seller_incentive;platform_take_rate,Positive,Requires cost data not in current dataset,NEEDS EXTRA ASSUMPTION
seasonal_demand_factor,Monthly order volume variation,Phase 3,Peak: 2017-11 with 7544 orders; growth >20% months,inventory_planning;logistics_capacity;staffing,Positive,Seasonal pattern identified; month 11 highest average,Direct data available
